keyword	axis	unit	family	category	archetype
lương thưởng phúc lợi là gì	construct-scale	luong-thuong-phuc-loi	hrm	mo-hinh-nghien-cuu	scale
thang đo đánh giá thành tích	construct-scale	danh-gia-thanh-tich	hrm	mo-hinh-nghien-cuu	scale
đánh giá thành tích là gì	construct-scale	danh-gia-thanh-tich	hrm	mo-hinh-nghien-cuu	scale
thang đo quan hệ đồng nghiệp	construct-scale	quan-he-dong-nghiep	hrm	mo-hinh-nghien-cuu	scale
quan hệ đồng nghiệp là gì	construct-scale	quan-he-dong-nghiep	hrm	mo-hinh-nghien-cuu	scale
thang đo cơ hội thăng tiến	construct-scale	co-hoi-thang-tien	hrm	mo-hinh-nghien-cuu	scale
cơ hội thăng tiến là gì	construct-scale	co-hoi-thang-tien	hrm	mo-hinh-nghien-cuu	scale
thang đo công bằng tổ chức	construct-scale	cong-bang-to-chuc	hrm	mo-hinh-nghien-cuu	scale
công bằng tổ chức là gì	construct-scale	cong-bang-to-chuc	hrm	mo-hinh-nghien-cuu	scale
thang đo hỗ trợ từ tổ chức	construct-scale	ho-tro-tu-to-chuc	hrm	mo-hinh-nghien-cuu	scale
hỗ trợ từ tổ chức là gì	construct-scale	ho-tro-tu-to-chuc	hrm	mo-hinh-nghien-cuu	scale
thang đo cân bằng công việc cuộc sống	construct-scale	can-bang-cong-viec-cuoc-song	hrm	mo-hinh-nghien-cuu	scale
cân bằng công việc cuộc sống là gì	construct-scale	can-bang-cong-viec-cuoc-song	hrm	mo-hinh-nghien-cuu	scale
thang đo truyền miệng điện tử	construct-scale	truyen-mieng-dien-tu	digital	mo-hinh-nghien-cuu	scale
truyền miệng điện tử là gì	construct-scale	truyen-mieng-dien-tu	digital	mo-hinh-nghien-cuu	scale
thang đo marketing nội dung	construct-scale	marketing-noi-dung	digital	mo-hinh-nghien-cuu	scale
marketing nội dung là gì	construct-scale	marketing-noi-dung	digital	mo-hinh-nghien-cuu	scale
thang đo marketing người ảnh hưởng	construct-scale	marketing-nguoi-anh-huong	digital	mo-hinh-nghien-cuu	scale
marketing người ảnh hưởng là gì	construct-scale	marketing-nguoi-anh-huong	digital	mo-hinh-nghien-cuu	scale
thang đo quảng cáo trên mạng xã hội	construct-scale	quang-cao-tren-mang-xa-hoi	digital	mo-hinh-nghien-cuu	scale
quảng cáo trên mạng xã hội là gì	construct-scale	quang-cao-tren-mang-xa-hoi	digital	mo-hinh-nghien-cuu	scale
thang đo trải nghiệm khách hàng	construct-scale	trai-nghiem-khach-hang	digital	mo-hinh-nghien-cuu	scale
trải nghiệm khách hàng là gì	construct-scale	trai-nghiem-khach-hang	digital	mo-hinh-nghien-cuu	scale
thang đo sự gắn kết khách hàng	construct-scale	su-gan-ket-khach-hang	digital	mo-hinh-nghien-cuu	scale
sự gắn kết khách hàng là gì	construct-scale	su-gan-ket-khach-hang	digital	mo-hinh-nghien-cuu	scale
thang đo tính dễ dùng của website	construct-scale	tinh-de-dung-cua-website	digital	mo-hinh-nghien-cuu	scale
tính dễ dùng của website là gì	construct-scale	tinh-de-dung-cua-website	digital	mo-hinh-nghien-cuu	scale
thang đo sự tham gia của khách hàng	construct-scale	su-tham-gia-cua-khach-hang	digital	mo-hinh-nghien-cuu	scale
sự tham gia của khách hàng là gì	construct-scale	su-tham-gia-cua-khach-hang	digital	mo-hinh-nghien-cuu	scale
thang đo tiêu dùng xanh	construct-scale	tieu-dung-xanh	sustainability	mo-hinh-nghien-cuu	scale
tiêu dùng xanh là gì	construct-scale	tieu-dung-xanh	sustainability	mo-hinh-nghien-cuu	scale
thang đo ý thức môi trường	construct-scale	y-thuc-moi-truong	sustainability	mo-hinh-nghien-cuu	scale
ý thức môi trường là gì	construct-scale	y-thuc-moi-truong	sustainability	mo-hinh-nghien-cuu	scale
thang đo trách nhiệm xã hội doanh nghiệp	construct-scale	trach-nhiem-xa-hoi-doanh-nghiep	sustainability	mo-hinh-nghien-cuu	scale
trách nhiệm xã hội doanh nghiệp là gì	construct-scale	trach-nhiem-xa-hoi-doanh-nghiep	sustainability	mo-hinh-nghien-cuu	scale
thang đo phát triển bền vững	construct-scale	phat-trien-ben-vung	sustainability	mo-hinh-nghien-cuu	scale
phát triển bền vững là gì	construct-scale	phat-trien-ben-vung	sustainability	mo-hinh-nghien-cuu	scale
thang đo hình ảnh điểm đến	construct-scale	hinh-anh-diem-den	tourism	mo-hinh-nghien-cuu	scale
hình ảnh điểm đến là gì	construct-scale	hinh-anh-diem-den	tourism	mo-hinh-nghien-cuu	scale
thang đo động cơ du lịch	construct-scale	dong-co-du-lich	tourism	mo-hinh-nghien-cuu	scale
động cơ du lịch là gì	construct-scale	dong-co-du-lich	tourism	mo-hinh-nghien-cuu	scale
thang đo chất lượng điểm đến	construct-scale	chat-luong-diem-den	tourism	mo-hinh-nghien-cuu	scale
chất lượng điểm đến là gì	construct-scale	chat-luong-diem-den	tourism	mo-hinh-nghien-cuu	scale
thang đo giá trị mối quan hệ	construct-scale	gia-tri-moi-quan-he	tourism	mo-hinh-nghien-cuu	scale
giá trị mối quan hệ là gì	construct-scale	gia-tri-moi-quan-he	tourism	mo-hinh-nghien-cuu	scale
thang đo động lực học tập	construct-scale	dong-luc-hoc-tap	education	mo-hinh-nghien-cuu	scale
động lực học tập là gì	construct-scale	dong-luc-hoc-tap	education	mo-hinh-nghien-cuu	scale
thang đo kết quả học tập	construct-scale	ket-qua-hoc-tap	education	mo-hinh-nghien-cuu	scale
kết quả học tập là gì	construct-scale	ket-qua-hoc-tap	education	mo-hinh-nghien-cuu	scale
thang đo sự gắn kết học tập	construct-scale	su-gan-ket-hoc-tap	education	mo-hinh-nghien-cuu	scale
sự gắn kết học tập là gì	construct-scale	su-gan-ket-hoc-tap	education	mo-hinh-nghien-cuu	scale
thang đo phương pháp giảng dạy	construct-scale	phuong-phap-giang-day	education	mo-hinh-nghien-cuu	scale
phương pháp giảng dạy là gì	construct-scale	phuong-phap-giang-day	education	mo-hinh-nghien-cuu	scale
thang đo năng lực cạnh tranh	construct-scale	nang-luc-canh-tranh	firm	mo-hinh-nghien-cuu	scale
năng lực cạnh tranh là gì	construct-scale	nang-luc-canh-tranh	firm	mo-hinh-nghien-cuu	scale
thang đo hiệu quả hoạt động doanh nghiệp	construct-scale	hieu-qua-hoat-dong-doanh-nghiep	firm	mo-hinh-nghien-cuu	scale
hiệu quả hoạt động doanh nghiệp là gì	construct-scale	hieu-qua-hoat-dong-doanh-nghiep	firm	mo-hinh-nghien-cuu	scale
thang đo hiệu quả tài chính	construct-scale	hieu-qua-tai-chinh	firm	mo-hinh-nghien-cuu	scale
hiệu quả tài chính là gì	construct-scale	hieu-qua-tai-chinh	firm	mo-hinh-nghien-cuu	scale
thang đo đổi mới sáng tạo	construct-scale	doi-moi-sang-tao	firm	mo-hinh-nghien-cuu	scale
đổi mới sáng tạo là gì	construct-scale	doi-moi-sang-tao	firm	mo-hinh-nghien-cuu	scale
thang đo chấp nhận rủi ro	construct-scale	chap-nhan-rui-ro	firm	mo-hinh-nghien-cuu	scale
chấp nhận rủi ro là gì	construct-scale	chap-nhan-rui-ro	firm	mo-hinh-nghien-cuu	scale
thang đo cấu trúc vốn	construct-scale	cau-truc-von	firm	mo-hinh-nghien-cuu	scale
cấu trúc vốn là gì	construct-scale	cau-truc-von	firm	mo-hinh-nghien-cuu	scale
thang đo đòn bẩy tài chính	construct-scale	don-bay-tai-chinh	firm	mo-hinh-nghien-cuu	scale
đòn bẩy tài chính là gì	construct-scale	don-bay-tai-chinh	firm	mo-hinh-nghien-cuu	scale
thang đo thanh khoản	construct-scale	thanh-khoan	firm	mo-hinh-nghien-cuu	scale
thanh khoản là gì	construct-scale	thanh-khoan	firm	mo-hinh-nghien-cuu	scale
thang đo rủi ro tín dụng	construct-scale	rui-ro-tin-dung	firm	mo-hinh-nghien-cuu	scale
rủi ro tín dụng là gì	construct-scale	rui-ro-tin-dung	firm	mo-hinh-nghien-cuu	scale
thang đo quản trị lợi nhuận	construct-scale	quan-tri-loi-nhuan	firm	mo-hinh-nghien-cuu	scale
quản trị lợi nhuận là gì	construct-scale	quan-tri-loi-nhuan	firm	mo-hinh-nghien-cuu	scale
thang đo tự tin khởi nghiệp	construct-scale	tu-tin-khoi-nghiep	entrepreneurship	mo-hinh-nghien-cuu	scale
tự tin khởi nghiệp là gì	construct-scale	tu-tin-khoi-nghiep	entrepreneurship	mo-hinh-nghien-cuu	scale
thang đo giáo dục khởi nghiệp	construct-scale	giao-duc-khoi-nghiep	entrepreneurship	mo-hinh-nghien-cuu	scale
giáo dục khởi nghiệp là gì	construct-scale	giao-duc-khoi-nghiep	entrepreneurship	mo-hinh-nghien-cuu	scale
thang đo chuẩn mực xã hội	construct-scale	chuan-muc-xa-hoi	entrepreneurship	mo-hinh-nghien-cuu	scale
chuẩn mực xã hội là gì	construct-scale	chuan-muc-xa-hoi	entrepreneurship	mo-hinh-nghien-cuu	scale
thang đo nhận thức về giá	construct-scale	nhan-thuc-ve-gia	value	mo-hinh-nghien-cuu	scale
nhận thức về giá là gì	construct-scale	nhan-thuc-ve-gia	value	mo-hinh-nghien-cuu	scale
thang đo sự đổi mới cá nhân	construct-scale	su-doi-moi-ca-nhan	tam-construct	mo-hinh-nghien-cuu	scale
sự đổi mới cá nhân là gì	construct-scale	su-doi-moi-ca-nhan	tam-construct	mo-hinh-nghien-cuu	scale
thang đo kinh nghiệm sử dụng	construct-scale	kinh-nghiem-su-dung	tam-construct	mo-hinh-nghien-cuu	scale
kinh nghiệm sử dụng là gì	construct-scale	kinh-nghiem-su-dung	tam-construct	mo-hinh-nghien-cuu	scale
thang đo sự hài lòng điện tử	construct-scale	su-hai-long-dien-tu	satisfaction	mo-hinh-nghien-cuu	scale
sự hài lòng điện tử là gì	construct-scale	su-hai-long-dien-tu	satisfaction	mo-hinh-nghien-cuu	scale
thang đo ý định giới thiệu	construct-scale	y-dinh-gioi-thieu	loyalty	mo-hinh-nghien-cuu	scale
ý định giới thiệu là gì	construct-scale	y-dinh-gioi-thieu	loyalty	mo-hinh-nghien-cuu	scale
thang đo hình ảnh doanh nghiệp	construct-scale	hinh-anh-doanh-nghiep	brand	mo-hinh-nghien-cuu	scale
hình ảnh doanh nghiệp là gì	construct-scale	hinh-anh-doanh-nghiep	brand	mo-hinh-nghien-cuu	scale
thang đo hành vi đổi mới của nhân viên	construct-scale	hanh-vi-doi-moi-cua-nhan-vien	hrm	mo-hinh-nghien-cuu	scale
hành vi đổi mới của nhân viên là gì	construct-scale	hanh-vi-doi-moi-cua-nhan-vien	hrm	mo-hinh-nghien-cuu	scale
thang đo tiếng nói của nhân viên	construct-scale	tieng-noi-cua-nhan-vien	hrm	mo-hinh-nghien-cuu	scale
tiếng nói của nhân viên là gì	construct-scale	tieng-noi-cua-nhan-vien	hrm	mo-hinh-nghien-cuu	scale
thang đo im lặng tổ chức	construct-scale	im-lang-to-chuc	hrm	mo-hinh-nghien-cuu	scale
im lặng tổ chức là gì	construct-scale	im-lang-to-chuc	hrm	mo-hinh-nghien-cuu	scale
thang đo hành vi phản năng suất	construct-scale	hanh-vi-phan-nang-suat	hrm	mo-hinh-nghien-cuu	scale
hành vi phản năng suất là gì	construct-scale	hanh-vi-phan-nang-suat	hrm	mo-hinh-nghien-cuu	scale
